Групы;Код;Наименование;"Внешний код";Артикул;"Единица измерения";"Цена продажи";"Валюта (Цена продажи)";"Закупочная цена";"Валюта (Закупочная цена)";"Неснижаемый остаток";"Штрихкод EAN13";"Штрихкод EAN8";"Штрихкод Code128";Описание;"Минимальная цена";Страна;НДС;Поставщик;Архивный;Вес;Объем
Категории/L-карнитин;4235;"L-Carnitine Base";4235;ЛК-021274;шт;0;руб;;;;;;;"FM L-Carnitine Base - спортивная добавка, направленная на жиросжигающуюю диету. Предназначена не только для профессиональных атлетов и спортсменов, но и для людей, желающих избавиться от лишних жировых отложений.";;;;;нет;0;0
Категории/L-карнитин;4236;"L-Carnitine Green";4236;ЛК-021275;шт;0;руб;;;;;;;"L-Carnitine Green - жиросжигающий комплекс разработанный на основе экстракта зеленого чая. Благодаря своим уникальным действующим свойствам, добавка также способствует формированию мощного рельефа.";;;;;нет;0;0
Категории/L-карнитин;4238;"L-Carnitine Liquid 3000";4238;ЛК-021276;шт;0;руб;;;;;;;"L-Carnitine Liquid 3000 пищевая спортивная добавка в основе которой лежит л-карнитин, известный как вещество, способствующее похудению и сжиганию жировых отложений. ";;;;;нет;0;0
Категории/Аминокислоты;4239;"L-Glutamine 4000";4239;ГЛ-021277;шт;0;руб;;;;;;;"L-Glutamine 4000 - пищевая спортивная добавка,порошковой формы, разработанная специалистами на основе чистого глютамина и вспомогательного витамина В6. Основное действие добавки направлено на прирост мускулатуры и увеличение силовых показателей спорстмена.";;;;;нет;0;0
"Категории/Снижение веса";4240;"Slim Diet apple";4240;ЖЖ-021278;шт;0;руб;;;;;;;"Slim Diet apple - пищевая спортивная добавка разработанная специально для хрупкой половины человечества. Это не просто вспомогательный комплекс, а полноценный заменитель пищи, включающий в своем составе все необходимые компоненты способствующие как полноценному функционированию организма, так и снижению веса и проблемных жировых отложений.";;;;;нет;0;0
Категории/Креатин;4241;"Creatine Creapure";4241;КР-021280;шт;0;руб;;;;;;;"Creatine Creapure пищевой спортивный комплекс в основе которого лежат 2 компонента - креатин и таурин. Целевое воздействие комплекса преимущественно направлено на прирост мышечной массы за сравнительно короткий период времени.";;;;;нет;0;0
"Категории/Специальные добавки";4242;HMB+;4242;АК-021281;шт;0;руб;;;;;;;"HMB пищевая спортивная добавка, целевое воздействие которой направлено на борьбу с лишними и проблемными жировыми отложениями.";;;;;нет;0;0
"Категории/Повышение тестостерона";4243;"Tribu Up";4243;ТЕ-021279;шт;0;руб;;;;;;;"Tribu Up препарат, основное целевое воздействие которого направлено на здоровое увеличение выработки гормона тестостерона организмом спортсмена.";;;;;нет;0;0
"Категории/Предтренировочные комплексы";4244;"Pump Ghost";4244;ПРЕД-021282;шт;0;руб;;;;;;;"Pump Ghost пищевая спортивная добавка основное действие которой направлено на улучшение протекание процессов метаболизма.";;;;;нет;0;0
"Категории/Для улучшения сна";4245;"Good Night";4245;СН-021283;шт;0;руб;;;;;;;"Good Night пищевая спортивная добавка разработанная на основе мицеллярного казеина обладающая мягким и в то же время мощным восстанавливающим эффектом.";;;;;нет;0;0
Категории/Протеин;4246;WakeUp;4246;ПР-021285;шт;0;руб;;;;;;;"WakeUp протеиновый комплекс с дополнительным ""бодрящим"" эффектом. Оптимальное решение для тех, кто любит тренироваться в первой половине дня.";;;;;нет;0;0
Категории/Протеин;4247;"ISOLATE 90 PREMIUM";4247;ПР-021284;шт;0;руб;;;;;;;"Isolate 90 premium пищевая спортивная добавка на основе изолята протеина. Является отменным восстанавливающим средством после изнурительных тренировочных занятий";;;;;нет;0;0
Категории/Протеин;4248;"Whey Protein 81+";4248;ПР-021286;шт;0;руб;;;;;;;"Whey Protein 81+ - протеиновый комплекс основное действие которого направлено на качественное улучшение восстановительных процессов после сложных физических нагрузок и тренировок повышенного уровня сложности.";;;;;нет;0;0
Категории/Гейнер;4249;Carbo;4249;ГН-021287;шт;0;руб;;;;;;;"Carbo - пищевая спортивная добавка основное действие которой направлено на увеличение энергии во время тренировок, для достижения максимальных показателей!";;;;;нет;0;0
Категории/Креатин;4250;Qualitine;4250;КР-021295;шт;0;руб;;;;;;;"Qualitine от Gaspari – качественный креатиновый продукт, разработанный по новой формуле микронизации. Мышечные клетки с Qualitine получат большую биоволюмизацию за счет притока креатина на 10-40%!";;;;;нет;0;0
"Категории/Снижение веса";4251;"Detonate XT";4251;ЖЖ-021296;шт;0;руб;;;;;;;"Detonate XT– это мощное и естественное решение для расщепления жира разумным способом. Добавка работает за счет природных стимуляторов обмена веществ, направленных на регулирование механизмов, отвечающих за регуляцию баланса жиров, белков и углеводов.";;;;;нет;0;0
"Категории/Предтренировочные комплексы";4252;NITRAFLEX;4252;ПРЕД-021297;шт;0;руб;;;;;;;"NITRAFLEX - предтренировочный стимулятор комплексного действия,основанный на аргинине,способствующий энергии и приливу сил бодибилдера.";;;;;нет;0;0
Категории/Аминокислоты;4253;"Muscle Martini";4253;АМ-021298;шт;0;руб;;;;;;;"GAT Muscle Martini - спортивная добавка, которая содержит аминокислотный комплекс с восстановителями и антиоксидантами,ускоряющих процессы восстановления организма,дающие ощущение бодрости на целый день.";;;;;нет;0;0
Категории/Креатин;4255;JETMASS;4255;КР-021299;шт;0;руб;;;;;;;"JETMASS-спортивная пищевая добавка,послетренировочный комплекс,обеспечивающий прилив энергии, быстрое восстановление и рост мышечной массы. ";;;;;нет;0;0
